segment_id,street,direction,length,observed_speed,predicted_speed,travel_time_minutes,estimated_co2,distance_score,time_score,emission_score,distance_focused_score,balanced_score,sustainability_focused_score
35,Pulaski,NB,0.53,37.0,28.6,1.11,110.9,0.3896,0.0839,0.3529,0.2942,0.2736,0.2759
39,Pulaski,NB,0.5,25.0,27.9,1.07,104.6,0.3506,0.0778,0.3177,0.2655,0.247,0.249
40,Pulaski,NB,0.5,31.0,25.9,1.16,104.6,0.3506,0.0912,0.3177,0.2695,0.2515,0.253
41,Pulaski,NB,0.62,26.0,25.4,1.47,129.7,0.5065,0.1405,0.4588,0.3919,0.3663,0.3681
44,Pulaski,NB,0.68,22.0,24.4,1.68,142.3,0.5844,0.1737,0.5294,0.4557,0.4266,0.4282
48,Pulaski,NB,0.5,27.0,26.7,1.13,104.6,0.3506,0.086,0.3177,0.268,0.2498,0.2515
49,Pulaski,NB,0.5,20.0,26.5,1.13,104.6,0.3506,0.0874,0.3177,0.2684,0.2503,0.2519
50,Pulaski,NB,0.5,26.0,26.9,1.11,104.6,0.3506,0.0841,0.3177,0.2674,0.2491,0.2509
51,Pulaski,NB,0.65,22.0,24.3,1.61,136.0,0.5455,0.1629,0.4941,0.4256,0.3984,0.3999
52,Pulaski,NB,0.85,26.0,25.8,1.97,177.8,0.8052,0.2215,0.7294,0.6225,0.5817,0.5846
54,Pulaski,NB,0.6,0.0,5.3,6.85,226.0,0.4805,1.0,1.0,0.6883,0.8286,0.9481
56,Pulaski,NB,0.5,33.0,29.1,1.03,104.6,0.3506,0.071,0.3177,0.2634,0.2447,0.247
57,Pulaski,NB,0.5,26.0,27.6,1.09,104.6,0.3506,0.08,0.3177,0.2662,0.2478,0.2497
63,Pulaski,SB,0.5,26.0,27.8,1.08,104.6,0.3506,0.0788,0.3177,0.2658,0.2473,0.2493
64,Pulaski,SB,0.5,29.0,28.4,1.06,104.6,0.3506,0.0751,0.3177,0.2647,0.2461,0.2482
